Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
CASP2	7q34	10.24	10.13	0.50	0.55	0.11	0.0828	0.390	(A) Asian
SH2B2	7q22.1	5.30	5.06	1.18	0.81	0.24	0.0828	0.390	(A) Asian
ENOSF1	18p11.32	9.19	9.04	0.74	0.65	0.16	0.0828	0.390	(A) Asian
MGAT1	5q35.3	11.26	11.37	0.50	0.50	-0.11	0.0829	0.390	(B) White
PDE2A	11q13.4	6.53	6.88	1.61	1.51	-0.34	0.0829	0.390	(B) White
INSR	19p13.2	10.98	11.11	0.59	0.62	-0.13	0.0829	0.390	(B) White
ERGIC2	12p11.22	9.55	9.41	0.62	0.62	0.13	0.0829	0.390	(A) Asian
RNF13	3q25.1	10.40	10.48	0.36	0.45	-0.08	0.0830	0.391	(B) White
TCAP	17q12	2.83	2.49	1.63	1.28	0.34	0.0831	0.391	(A) Asian
ZNF782	9q22.33	6.05	5.91	0.66	0.63	0.14	0.0832	0.391	(A) Asian
SYNGR4	19q13.33	1.30	1.60	1.36	1.47	-0.30	0.0832	0.391	(B) White
HCAR3	12q24.31	3.98	4.43	2.05	2.21	-0.45	0.0832	0.391	(B) White
RAE1	20q13.31	10.03	9.89	0.67	0.62	0.14	0.0833	0.391	(A) Asian
DTYMK	2q37.3	9.37	9.22	0.70	0.70	0.15	0.0833	0.391	(A) Asian
NAV3	12q21.2	4.49	4.89	1.84	1.80	-0.40	0.0834	0.392	(B) White
MAPKAPK2	1q32.1	11.36	11.44	0.36	0.42	-0.08	0.0834	0.392	(B) White
DOCK10	2q36.2	7.85	8.15	1.44	1.28	-0.30	0.0835	0.392	(B) White
ZNF532	18q21.32	9.75	9.96	0.99	0.82	-0.21	0.0836	0.392	(B) White
MAPK8IP1	11p11.2	6.53	6.89	1.67	1.50	-0.35	0.0836	0.392	(B) White
DYRK4	12p13.32	8.16	8.00	0.78	0.71	0.17	0.0837	0.393	(A) Asian
PLA2G15	16q22.1	8.61	8.71	0.47	0.56	-0.11	0.0839	0.393	(B) White
PDCD1LG2	9p24.1	5.54	5.85	1.47	1.33	-0.31	0.0840	0.394	(B) White
GULP1	2q32.1-q32.2	8.34	8.65	1.46	1.28	-0.31	0.0840	0.394	(B) White
BRAT1	7p22.3	10.18	10.06	0.58	0.55	0.12	0.0840	0.394	(A) Asian
MAPK1IP1L	14q22.3	11.16	11.09	0.31	0.39	0.07	0.0841	0.394	(A) Asian
HOXA10	7p15.2	8.16	7.61	2.51	2.48	0.54	0.0841	0.394	(A) Asian
UTP14A	Xq26.1	9.41	9.28	0.59	0.54	0.12	0.0842	0.394	(A) Asian
ZHX2	8q24.13	8.97	9.16	0.91	0.70	-0.19	0.0843	0.394	(B) White
FIRRE	Xq26.2	3.53	3.11	1.99	1.69	0.42	0.0843	0.394	(A) Asian
VPS35	16q11.2	11.56	11.64	0.35	0.43	-0.08	0.0844	0.395	(B) White
KIAA0040	1q25.1	9.96	10.10	0.67	0.63	-0.14	0.0844	0.395	(B) White
ALDH7A1	5q23.2	9.97	9.78	0.85	0.86	0.18	0.0844	0.395	(A) Asian
TAGAP	6q25.3	6.95	7.28	1.54	1.42	-0.33	0.0845	0.395	(B) White
SH3D19	4q31.3	10.74	10.92	0.86	0.75	-0.18	0.0845	0.395	(B) White
PDZRN4	12q12	3.87	4.47	2.83	2.46	-0.59	0.0846	0.395	(B) White
HCP5	6p21.33	9.82	10.12	1.45	1.06	-0.29	0.0846	0.395	(B) White
ADRB2	5q32	4.28	4.64	1.69	1.49	-0.35	0.0847	0.395	(B) White
TAS2R60	7q35	0.31	0.45	0.67	0.67	-0.15	0.0847	0.395	(B) White
RRM2	2p25.1	10.96	10.74	1.03	0.99	0.22	0.0848	0.396	(A) Asian
SLC9C1	3q13.2	1.33	1.14	0.88	0.88	0.19	0.0849	0.396	(A) Asian
PCMTD2	20q13.33	10.42	10.27	0.69	0.72	0.15	0.0849	0.396	(A) Asian
MEF2D	1q22	10.44	10.56	0.58	0.58	-0.13	0.0853	0.397	(B) White
BAG6	6p21.33	11.88	11.97	0.37	0.47	-0.09	0.0853	0.398	(B) White
SORBS3	8p21.3	9.99	10.17	0.85	0.79	-0.18	0.0854	0.398	(B) White
KLC3	19q13.32	3.30	3.76	2.13	2.03	-0.45	0.0855	0.398	(B) White
POLR2J	7q22.1	10.27	10.12	0.67	0.65	0.14	0.0855	0.398	(A) Asian
SIX5	19q13.32	8.13	8.28	0.75	0.66	-0.16	0.0856	0.399	(B) White
LINC00634	22q13.2	2.13	1.86	1.30	1.10	0.27	0.0857	0.399	(A) Asian
MYO1F	19p13.2	8.17	8.41	1.10	1.11	-0.24	0.0857	0.399	(B) White
TAF6L	11q12.3	7.92	7.82	0.46	0.45	0.10	0.0857	0.399	(A) Asian
GCLC	6p12.1	10.14	10.25	0.50	0.61	-0.11	0.0858	0.399	(B) White
SDHC	1q23.3	11.03	10.93	0.45	0.50	0.10	0.0859	0.399	(A) Asian
TEP1	14q11.2	10.44	10.31	0.60	0.63	0.13	0.0859	0.399	(A) Asian
LINC00235	16p13.3	1.22	1.03	0.87	0.82	0.19	0.0859	0.399	(A) Asian
ESR1	6q25.1-q25.2	4.38	4.70	1.47	1.40	-0.31	0.0860	0.400	(B) White
NR3C1	5q31.3	9.42	9.66	1.18	0.97	-0.24	0.0861	0.400	(B) White
RSPO3	6q22.33	6.66	7.15	2.38	2.00	-0.49	0.0861	0.400	(B) White
SLC35B2	6p21.1	10.06	10.20	0.67	0.66	-0.14	0.0862	0.400	(B) White
CLMP	11q24.1	6.56	7.00	2.13	1.76	-0.44	0.0862	0.400	(B) White
CHL1	3p26.3	5.94	6.37	2.04	1.87	-0.43	0.0863	0.400	(B) White
GDF15	19p13.11	9.71	10.05	1.58	1.54	-0.34	0.0863	0.400	(B) White
PACC1	1q32.3	7.75	7.62	0.60	0.57	0.13	0.0863	0.400	(A) Asian
PARS2	1p32.3	6.83	6.93	0.46	0.53	-0.10	0.0863	0.400	(B) White
UBE2D2	5q31.2	10.74	10.67	0.36	0.36	0.08	0.0864	0.400	(A) Asian
FHDC1	4q31.3	8.06	8.26	0.96	0.94	-0.21	0.0864	0.400	(B) White
PMS2P4	7q11.21	4.72	4.55	0.78	0.82	0.17	0.0864	0.400	(A) Asian
MADD	11p11.2	10.21	10.31	0.48	0.52	-0.11	0.0865	0.400	(B) White
NOP2	12p13.31	10.20	10.05	0.74	0.59	0.15	0.0865	0.400	(A) Asian
LINC01001	11p15.5	5.42	5.68	1.17	1.22	-0.25	0.0866	0.401	(B) White
PTPN14	1q32.3-q41	6.97	7.15	0.82	0.84	-0.18	0.0866	0.401	(B) White
RPS6KA4	11q13.1	10.20	10.08	0.53	0.62	0.12	0.0867	0.401	(A) Asian
ARMH3	10q24.32	9.24	9.32	0.33	0.40	-0.08	0.0869	0.402	(B) White
SFRP1	8p11.21	6.21	6.81	2.78	2.70	-0.59	0.0869	0.402	(B) White
RAP1GAP2	17p13.3	9.57	9.75	0.86	0.83	-0.18	0.0870	0.402	(B) White
BTN2A3P	6p22.2	5.25	5.10	0.67	0.88	0.16	0.0870	0.402	(A) Asian
SPHK2	19q13.33	8.46	8.32	0.63	0.73	0.14	0.0871	0.402	(A) Asian
MPDZ	9p23	7.63	7.96	1.59	1.44	-0.33	0.0871	0.402	(B) White
CDH23	10q22.1	4.13	4.52	1.91	1.69	-0.40	0.0872	0.402	(B) White
BRD4	19p13.12	11.12	11.04	0.38	0.41	0.08	0.0873	0.403	(A) Asian
HSP90B3P	1p22.1	3.73	3.94	0.98	1.05	-0.21	0.0873	0.403	(B) White
KLF7	2q33.3	6.08	6.35	1.26	1.16	-0.27	0.0873	0.403	(B) White
AHCYL2	7q32.1	10.03	10.30	1.23	1.28	-0.27	0.0875	0.403	(B) White
COMMD3	10p12.2	9.50	9.38	0.56	0.49	0.12	0.0875	0.403	(A) Asian
RPGRIP1	14q11.2	2.22	2.44	1.02	1.09	-0.22	0.0876	0.403	(B) White
ARHGEF28	5q13.2	8.16	8.37	0.99	0.98	-0.21	0.0877	0.404	(B) White
UPP2	2q24.1	0.57	0.73	0.72	0.84	-0.16	0.0877	0.404	(B) White
DRAP1	11q13.1	10.12	10.00	0.57	0.57	0.12	0.0877	0.404	(A) Asian
METTL2A	17q23.2	8.96	8.86	0.46	0.46	0.10	0.0878	0.404	(A) Asian
PPIL4	6q25.1	9.46	9.37	0.37	0.43	0.08	0.0879	0.404	(A) Asian
SGMS1	10q11.23	9.51	9.39	0.59	0.56	0.12	0.0879	0.404	(A) Asian
LRRC37A3	17q24.1	5.48	5.74	1.28	0.92	-0.26	0.0879	0.404	(B) White
OLFML2B	1q23.3	8.95	9.25	1.35	1.40	-0.29	0.0880	0.404	(B) White
POLQ	3q13.33	8.14	7.89	1.17	1.22	0.25	0.0880	0.404	(A) Asian
LITAF	16p13.13	11.54	11.70	0.75	0.65	-0.15	0.0880	0.404	(B) White
ACTR1B	2q11.2	10.28	10.19	0.44	0.44	0.09	0.0880	0.404	(A) Asian
RNASE4	14q11.2	10.03	10.28	1.14	1.16	-0.25	0.0880	0.404	(B) White
ASPM	1q31.3	9.74	9.50	1.11	1.06	0.23	0.0880	0.404	(A) Asian
CALM1	14q32.11	13.27	13.17	0.50	0.49	0.11	0.0882	0.404	(A) Asian
KIAA1549	7q34	7.96	8.23	1.34	1.16	-0.28	0.0882	0.404	(B) White
SLFNL1	1p34.2	2.86	2.67	0.87	0.97	0.19	0.0882	0.404	(A) Asian
BFAR	16p13.12	10.43	10.51	0.37	0.47	-0.08	0.0882	0.404	(B) White
WDR83	19p13.13	7.24	7.13	0.51	0.50	0.11	0.0882	0.404	(A) Asian
SNX9	6q25.3	10.84	10.94	0.50	0.48	-0.11	0.0883	0.405	(B) White
FBXO44	1p36.22	7.66	7.90	1.09	1.07	-0.23	0.0883	0.405	(B) White
SEMA3F	3p21.31	9.13	9.32	0.88	0.88	-0.19	0.0884	0.405	(B) White
KLC4	6p21.1	9.19	9.35	0.73	0.86	-0.16	0.0885	0.405	(B) White
RANGRF	17p13.1	8.64	8.50	0.70	0.58	0.14	0.0885	0.405	(A) Asian
RBP7	1p36.22	5.15	5.47	1.52	1.36	-0.32	0.0886	0.405	(B) White
GTPBP8	3q13.2	7.55	7.47	0.35	0.44	0.08	0.0886	0.406	(A) Asian
GTF3C1	16p12.1	10.86	10.96	0.43	0.54	-0.10	0.0887	0.406	(B) White
MS4A4A	11q12.2	7.48	7.76	1.30	1.37	-0.28	0.0889	0.407	(B) White
TESPA1	12q13.2	4.45	4.80	1.67	1.57	-0.35	0.0889	0.407	(B) White
C2CD2L	11q23.3	8.54	8.42	0.53	0.53	0.11	0.0891	0.407	(A) Asian
PDE4B	1p31.3	8.13	8.41	1.35	1.22	-0.28	0.0892	0.407	(B) White
CLEC12B	12p13.2	1.44	1.21	1.08	1.02	0.23	0.0892	0.407	(A) Asian
BCDIN3D-AS1	12q13.12	3.91	3.72	0.92	0.94	0.20	0.0893	0.408	(A) Asian
EGFR	7p11.2	9.13	9.45	1.58	1.39	-0.33	0.0893	0.408	(B) White
RANGAP1	22q13.2	11.33	11.22	0.54	0.48	0.11	0.0893	0.408	(A) Asian
OPHN1	Xq12	7.30	7.48	0.84	0.88	-0.18	0.0893	0.408	(B) White
FLJ44635	Xq13.1	5.14	5.35	1.01	1.02	-0.22	0.0893	0.408	(B) White
ZNF670	1q44	6.56	6.42	0.66	0.61	0.14	0.0893	0.408	(A) Asian
DCPS	11q24.2	8.65	8.53	0.57	0.56	0.12	0.0894	0.408	(A) Asian
ITGA1	5q11.2	10.18	10.42	1.13	1.06	-0.24	0.0895	0.408	(B) White
ZNF213	16p13.3	8.66	8.77	0.47	0.53	-0.10	0.0895	0.408	(B) White
PHLDB3	19q13.31	6.92	7.10	0.86	0.88	-0.18	0.0895	0.408	(B) White
OTOAP1	16p12.2	2.01	2.28	1.33	1.22	-0.28	0.0895	0.408	(B) White
DYNC2LI1	2p21	8.40	8.27	0.65	0.53	0.13	0.0896	0.408	(A) Asian
SEC24C	10q22.2	11.26	11.36	0.42	0.49	-0.09	0.0896	0.408	(B) White
KMT2E-AS1	7q22.3	7.19	7.03	0.72	0.81	0.16	0.0896	0.408	(A) Asian
GRIN2C	17q25.1	3.90	3.59	1.54	1.30	0.32	0.0897	0.408	(A) Asian
COPG2	7q32.2	8.15	8.28	0.61	0.55	-0.13	0.0897	0.408	(B) White
TSTD2	9q22.33	8.55	8.66	0.55	0.53	-0.12	0.0897	0.408	(B) White
CX3CL1	16q21	8.67	9.01	1.67	1.35	-0.34	0.0897	0.408	(B) White
BCL10	1p22.3	9.44	9.31	0.60	0.57	0.13	0.0897	0.408	(A) Asian
ZBTB38	3q23	10.85	10.98	0.63	0.62	-0.13	0.0898	0.408	(B) White
CAMK2D	4q26	9.93	10.05	0.58	0.61	-0.12	0.0899	0.408	(B) White
HRNR	1q21.3	1.90	2.23	1.54	1.46	-0.32	0.0899	0.408	(B) White
HHIPL1	14q32.2	5.44	5.74	1.47	1.26	-0.30	0.0899	0.408	(B) White
GGA3	17q25.1	9.61	9.69	0.40	0.41	-0.09	0.0900	0.408	(B) White
CP	3q24-q25.1	6.72	7.27	2.61	2.48	-0.55	0.0901	0.409	(B) White
GOLGA8B	15q14	8.41	8.08	1.54	1.66	0.33	0.0901	0.409	(A) Asian
MED13L	12q24.21	10.64	10.75	0.51	0.55	-0.11	0.0902	0.409	(B) White
PLXNB2	22q13.33	12.89	13.02	0.56	0.66	-0.12	0.0903	0.409	(B) White
INTS13	12p11.23	9.53	9.38	0.72	0.67	0.15	0.0903	0.409	(A) Asian
TMEM38B	9q31.2	8.19	8.01	0.82	0.81	0.17	0.0903	0.409	(A) Asian
MKNK1	1p33	8.90	8.97	0.33	0.36	-0.07	0.0903	0.409	(B) White
STEAP4	7q21.12	7.41	7.79	1.84	1.73	-0.38	0.0903	0.409	(B) White
TAF9B	Xq21.1	8.87	9.02	0.69	0.64	-0.14	0.0903	0.409	(B) White
IGSF3	1p13.1	9.07	9.32	1.22	1.03	-0.25	0.0903	0.409	(B) White
ZNF841	19q13.41	8.05	8.28	1.14	0.88	-0.23	0.0904	0.409	(B) White
SUGCT	7p14.1	4.16	4.53	1.79	1.44	-0.36	0.0904	0.409	(B) White
CLCA4	1p22.3	1.75	2.19	1.83	2.81	-0.45	0.0905	0.409	(B) White
TPPP	5p15.33	8.19	8.51	1.54	1.43	-0.32	0.0906	0.410	(B) White
PELO	5q11.2	9.00	9.10	0.48	0.46	-0.10	0.0907	0.410	(B) White
SPRYD7	13q14.2	8.45	8.33	0.54	0.51	0.11	0.0908	0.410	(A) Asian
AP2S1	19q13.32	10.65	10.53	0.59	0.55	0.12	0.0908	0.410	(A) Asian
SNAPC1	14q23.2	7.67	7.56	0.57	0.51	0.12	0.0908	0.410	(A) Asian
CFD	19p13.3	7.74	8.07	1.61	1.51	-0.34	0.0909	0.410	(B) White
ZFYVE9	1p32.3	8.69	8.86	0.84	0.60	-0.17	0.0909	0.410	(B) White
RNF40	16p11.2	10.89	10.97	0.37	0.45	-0.08	0.0910	0.411	(B) White
PLPP1	5q11.2	9.31	9.53	1.05	0.89	-0.21	0.0912	0.411	(B) White
HAL	12q23.1	2.48	2.82	1.52	1.76	-0.34	0.0912	0.412	(B) White
JMJD1C-AS1	10q21.3	3.31	3.11	0.99	0.94	0.21	0.0913	0.412	(A) Asian
EIF3M	11p13	11.69	11.58	0.51	0.60	0.11	0.0913	0.412	(A) Asian
CYP1B1	2p22.2	8.21	8.71	2.38	2.18	-0.49	0.0914	0.412	(B) White
RPS6KA2	6q27	9.22	9.42	0.97	0.81	-0.20	0.0914	0.412	(B) White
CCDC74A	2q21.1	5.88	6.16	1.35	1.18	-0.28	0.0915	0.412	(B) White
ZSCAN25	7q22.1	8.52	8.41	0.55	0.52	0.11	0.0915	0.412	(A) Asian
FMO1	1q24.3	4.74	5.20	2.26	1.92	-0.46	0.0916	0.412	(B) White
MIA2	14q13.2	10.06	10.17	0.51	0.58	-0.11	0.0916	0.412	(B) White
RALGPS1	9q33.3	8.74	8.91	0.80	0.79	-0.17	0.0916	0.412	(B) White
PPARD	6p21.31	9.80	9.92	0.52	0.61	-0.12	0.0917	0.412	(B) White
ERAP2	5q15	9.81	9.47	1.50	1.92	0.34	0.0917	0.412	(A) Asian
CA8	8q12.1	6.09	6.60	2.44	2.16	-0.50	0.0917	0.412	(B) White
STAT4	2q32.2-q32.3	5.92	6.19	1.29	1.24	-0.27	0.0918	0.412	(B) White
SLC16A12	10q23.31	2.54	2.84	1.42	1.46	-0.30	0.0918	0.412	(B) White
CCNH	5q14.3	9.03	8.94	0.41	0.48	0.09	0.0918	0.412	(A) Asian
GAS5	1q25.1	10.83	10.66	0.79	0.93	0.18	0.0919	0.412	(A) Asian
TAS2R19	12p13.2	1.39	1.54	0.69	0.79	-0.15	0.0919	0.412	(B) White
FAT4	4q28.1	8.02	8.33	1.46	1.42	-0.31	0.0919	0.412	(B) White
NAT1	8p22	7.75	7.55	0.88	1.01	0.19	0.0919	0.412	(A) Asian
PDHB	3p14.3	10.11	10.01	0.45	0.45	0.09	0.0920	0.412	(A) Asian
ZNF185	Xq28	8.54	8.85	1.42	1.56	-0.31	0.0920	0.412	(B) White
C7	5p13.1	8.05	8.81	3.74	3.19	-0.76	0.0920	0.412	(B) White
NBAS	2p24.3	9.87	9.98	0.49	0.50	-0.10	0.0920	0.412	(B) White
ZSCAN22	19q13.43	7.02	6.91	0.53	0.57	0.11	0.0920	0.412	(A) Asian
PLEKHG3	14q23.3	9.22	9.43	1.05	0.82	-0.21	0.0920	0.412	(B) White
AP3S2	15q26.1	10.09	10.20	0.53	0.50	-0.11	0.0920	0.412	(B) White
BTG3	21q21.1	9.21	9.07	0.65	0.70	0.14	0.0921	0.412	(A) Asian
SLC10A6	4q21.3	2.96	3.23	1.21	1.45	-0.27	0.0921	0.412	(B) White
CKLF	16q21	9.00	8.85	0.73	0.77	0.16	0.0921	0.412	(A) Asian
SFRP5	10q24.2	4.42	3.87	2.62	2.63	0.55	0.0922	0.412	(A) Asian
KANSL3	2q11.2	10.13	10.22	0.43	0.38	-0.09	0.0922	0.412	(B) White
PER3	1p36.23	8.52	8.77	1.16	1.21	-0.25	0.0922	0.412	(B) White
SOD1	21q22.11	12.01	11.87	0.67	0.71	0.14	0.0922	0.412	(A) Asian
MRPL43	10q24.31	10.15	10.04	0.53	0.48	0.11	0.0923	0.413	(A) Asian
LINC02381	12q13.13	7.11	7.55	2.07	1.98	-0.43	0.0924	0.413	(B) White
TGFB1	19q13.2	9.63	9.84	1.07	0.82	-0.21	0.0924	0.413	(B) White
EFHB	3p24.3	1.83	2.12	1.41	1.28	-0.29	0.0924	0.413	(B) White
ZMYND19	9q34.3	8.65	8.52	0.64	0.67	0.14	0.0926	0.413	(A) Asian
HSPA2	14q23.3	7.78	8.04	1.19	1.35	-0.26	0.0926	0.413	(B) White
CAMTA2	17p13.2	9.87	9.97	0.48	0.48	-0.10	0.0928	0.414	(B) White
CCDC144CP	17p11.2	1.53	1.29	1.16	0.94	0.23	0.0928	0.414	(A) Asian
TSNAX	1q42.2	10.00	9.91	0.41	0.43	0.09	0.0928	0.414	(A) Asian
CNNM4	2q11.2	9.73	9.91	0.89	0.87	-0.19	0.0928	0.414	(B) White
CLIC1	6p21.33	13.40	13.27	0.60	0.65	0.13	0.0929	0.414	(A) Asian
ROMO1	20q11.22	10.02	9.86	0.78	0.67	0.16	0.0929	0.414	(A) Asian
CCDC163	1p34.1	4.02	4.20	0.81	0.95	-0.18	0.0929	0.414	(B) White
LDHAL6B	15q22.2	2.25	2.05	0.97	1.07	0.21	0.0929	0.414	(A) Asian
SCN8A	12q13.13	4.26	4.66	1.95	1.77	-0.40	0.0930	0.414	(B) White
STK35	20p13	10.17	10.30	0.59	0.56	-0.12	0.0930	0.414	(B) White
PTGER1	19p13.12	2.59	2.97	1.81	1.80	-0.38	0.0930	0.414	(B) White
DNMT1	19p13.2	11.04	10.90	0.71	0.58	0.14	0.0930	0.414	(A) Asian
AURKB	17p13.1	8.85	8.62	1.08	1.09	0.23	0.0931	0.414	(A) Asian
FAT3	11q14.3	3.58	4.02	2.05	2.15	-0.44	0.0931	0.414	(B) White
FAM215A	17q21.31	0.59	0.78	0.88	0.94	-0.19	0.0931	0.414	(B) White
TEKT5	16p13.13	2.11	1.81	1.47	1.27	0.30	0.0932	0.414	(A) Asian
KSR2	12q24.22-q24.23	4.08	4.45	1.78	1.71	-0.37	0.0934	0.415	(B) White
AP1S3	2q36.1	8.96	8.77	0.89	0.96	0.19	0.0934	0.415	(A) Asian
TCL1B	14q32.13	1.28	0.95	1.68	1.20	0.33	0.0934	0.415	(A) Asian
TTC1	5q33.3	9.84	9.75	0.43	0.41	0.09	0.0934	0.415	(A) Asian
BRIX1	5p13.2	9.86	9.70	0.79	0.63	0.16	0.0934	0.415	(A) Asian
CHPT1	12q23.2	10.14	10.31	0.86	0.75	-0.18	0.0935	0.415	(B) White
TBC1D7	6p24.1	8.32	8.19	0.59	0.65	0.13	0.0936	0.415	(A) Asian
TFRC	3q29	11.94	12.14	0.90	1.07	-0.20	0.0936	0.415	(B) White
CADPS2	7q31.32	9.52	9.68	0.73	0.87	-0.16	0.0936	0.415	(B) White
DLG5	10q22.3	10.53	10.69	0.73	0.73	-0.15	0.0936	0.415	(B) White
ITGAM	16p11.2	7.38	7.67	1.42	1.43	-0.30	0.0936	0.415	(B) White
DEPDC1B	5q12.1	8.49	8.26	1.10	1.06	0.23	0.0937	0.415	(A) Asian
APH1B	15q22.2	7.60	7.81	1.02	0.84	-0.21	0.0937	0.415	(B) White
HSD17B10	Xp11.22	10.49	10.37	0.62	0.52	0.13	0.0939	0.415	(A) Asian
AKR1B1	7q33	9.52	9.74	1.11	1.00	-0.23	0.0939	0.415	(B) White
TRAPPC2	Xp22.2	8.30	8.18	0.55	0.59	0.12	0.0939	0.415	(A) Asian
MXI1	10q25.2	9.04	9.21	0.81	0.74	-0.17	0.0939	0.415	(B) White
GPR45	2q12.1	1.06	0.87	0.93	0.82	0.19	0.0939	0.415	(A) Asian
TAF10	11p15.4	9.58	9.42	0.75	0.70	0.15	0.0939	0.415	(A) Asian
FANCD2	3p25.3	9.00	8.81	0.89	0.92	0.19	0.0940	0.415	(A) Asian
METTL3	14q11.2	9.18	9.07	0.52	0.48	0.11	0.0940	0.415	(A) Asian
RTP4	3q27.3	8.07	7.85	1.05	1.10	0.22	0.0941	0.415	(A) Asian
SOX15	17p13.1	3.80	4.11	1.39	1.73	-0.31	0.0941	0.415	(B) White
RACGAP1	12q13.12	10.29	10.12	0.83	0.76	0.17	0.0941	0.415	(A) Asian
FIP1L1	4q12	9.51	9.42	0.40	0.40	0.08	0.0941	0.415	(A) Asian
MMRN1	4q22.1	6.07	6.53	2.26	1.97	-0.46	0.0941	0.415	(B) White
DUSP28	2q37.3	6.39	6.29	0.52	0.48	0.11	0.0942	0.415	(A) Asian
GLRB	4q32.1	4.54	4.93	1.90	1.59	-0.38	0.0942	0.415	(B) White
TOMM5	9p13.2	10.39	10.24	0.69	0.67	0.14	0.0942	0.415	(A) Asian
PDP2	16q22.1	7.12	7.24	0.59	0.65	-0.13	0.0942	0.415	(B) White
RALGAPA2	20p11.23	9.58	9.79	0.96	0.98	-0.20	0.0942	0.415	(B) White
ZNF781	19q13.12	4.24	3.95	1.41	1.23	0.29	0.0942	0.415	(A) Asian
TBC1D25	Xp11.23	8.27	8.37	0.47	0.44	-0.10	0.0943	0.415	(B) White
GATA2	3q21.3	6.65	6.38	1.31	1.20	0.27	0.0943	0.415	(A) Asian
LDOC1	Xq27.1	6.55	6.89	1.68	1.42	-0.34	0.0943	0.415	(B) White
HMGA2	12q14.3	7.40	6.92	2.27	2.40	0.48	0.0944	0.415	(A) Asian
CDK5RAP3	17q21.32	11.00	10.89	0.54	0.55	0.11	0.0944	0.415	(A) Asian
PPM1G	2p23.3	11.65	11.54	0.51	0.47	0.11	0.0944	0.415	(A) Asian
PRPF4B	6p25.2	11.01	10.92	0.45	0.46	0.09	0.0944	0.415	(A) Asian
ADAMTS2	5q35.3	8.10	8.42	1.53	1.55	-0.32	0.0944	0.415	(B) White
IGFBP5	2q35	12.62	12.94	1.55	1.36	-0.32	0.0944	0.415	(B) White
MANEA	6q16.1	8.85	8.98	0.64	0.66	-0.14	0.0945	0.415	(B) White
ALG13	Xq23	9.11	8.97	0.73	0.46	0.14	0.0946	0.416	(A) Asian
IGF2BP2-AS1	3q27.2	0.78	0.59	0.95	0.80	0.19	0.0947	0.416	(A) Asian
MFAP3	5q33.2	9.54	9.63	0.41	0.43	-0.09	0.0947	0.416	(B) White
NOP10	15q14	10.59	10.46	0.61	0.64	0.13	0.0948	0.416	(A) Asian
ARMH4	14q23.1	5.60	5.86	1.27	1.12	-0.26	0.0948	0.416	(B) White
RNFT2	12q24.22	6.90	6.66	1.18	1.13	0.24	0.0948	0.416	(A) Asian
FGD5	3p25.1	8.48	8.71	1.11	0.99	-0.23	0.0949	0.416	(B) White
MALL	2q13	10.67	10.39	1.32	1.46	0.28	0.0949	0.416	(A) Asian
CDRT4	17p12	7.20	7.39	0.95	0.67	-0.19	0.0949	0.416	(B) White
RHOB	2p24.1	11.77	12.00	1.07	1.04	-0.22	0.0950	0.416	(B) White
SWSAP1	19p13.2	6.17	6.03	0.70	0.53	0.14	0.0950	0.416	(A) Asian
RIMS3	1p34.2	5.94	6.25	1.54	1.46	-0.32	0.0950	0.416	(B) White
CHMP4C	8q21.13	9.34	9.13	1.01	1.00	0.21	0.0950	0.416	(A) Asian
TLE3	15q23	10.19	10.32	0.63	0.61	-0.13	0.0950	0.416	(B) White
SAMD10	20q13.33	7.84	7.68	0.76	0.90	0.17	0.0950	0.416	(A) Asian
FANCG	9p13.3	8.48	8.35	0.58	0.71	0.13	0.0950	0.416	(A) Asian
ZC2HC1C	14q24.3	6.16	5.99	0.80	0.80	0.17	0.0950	0.416	(A) Asian
CXORF65	Xq13.1	2.44	2.13	1.49	1.44	0.31	0.0950	0.416	(A) Asian
HERC3	4q22.1	9.02	9.14	0.58	0.55	-0.12	0.0950	0.416	(B) White
ELOVL4	6q14.1	4.45	4.76	1.51	1.43	-0.31	0.0950	0.416	(B) White
SOX18	20q13.33	7.38	7.16	1.04	0.94	0.21	0.0951	0.416	(A) Asian
MAFG	17q25.3	10.11	9.99	0.54	0.59	0.12	0.0952	0.416	(A) Asian
FBXW10	17p11.2	3.41	3.12	1.38	1.33	0.29	0.0952	0.416	(A) Asian
VLDLR	9p24.2	6.50	6.91	2.02	1.75	-0.41	0.0952	0.416	(B) White
TPST1	7q11.21	7.46	7.71	1.20	1.08	-0.25	0.0953	0.416	(B) White
MED28	4p15.32	9.20	9.11	0.40	0.45	0.09	0.0953	0.416	(A) Asian
MFAP1	15q15.3	9.74	9.67	0.34	0.34	0.07	0.0953	0.416	(A) Asian
LRRC26	9q34.3	2.60	2.96	1.68	1.89	-0.36	0.0953	0.416	(B) White
ISCA2	14q24.3	8.23	8.13	0.46	0.50	0.10	0.0953	0.416	(A) Asian
ST7	7q31.2	9.23	9.32	0.43	0.54	-0.10	0.0954	0.416	(B) White
MEI1	22q13.2	5.42	5.71	1.45	1.39	-0.30	0.0956	0.417	(B) White
PTGER3	1p31.1	6.27	6.71	2.16	1.82	-0.44	0.0956	0.417	(B) White
OST4	2p23.3	11.07	10.92	0.73	0.69	0.15	0.0957	0.417	(A) Asian
CAPN7	3p25.1	9.36	9.45	0.44	0.48	-0.09	0.0957	0.417	(B) White
PTMAP11	9q22.33	2.33	2.10	1.08	1.01	0.22	0.0958	0.417	(A) Asian
