Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
BTBD17	17q25.1	1.48	1.09	1.77	1.69	0.39	0.151	0.718	(A) Asian
TERT	5p15.33	0.35	0.50	0.64	1.01	-0.15	0.151	0.718	(B) White
CCR5	3p21.31	6.57	6.28	1.25	1.65	0.29	0.151	0.718	(A) Asian
CERS5	12q13.12	10.02	9.95	0.32	0.31	0.07	0.151	0.719	(A) Asian
DAXX	6p21.32	10.29	10.25	0.19	0.21	0.04	0.152	0.719	(A) Asian
MAMSTR	19q13.33	4.26	4.14	0.57	0.58	0.13	0.152	0.719	(A) Asian
ERN2	16p12.2	0.81	1.01	0.89	1.05	-0.20	0.152	0.719	(B) White
HRH1	3p25.3	7.62	7.88	1.14	1.28	-0.26	0.152	0.719	(B) White
TNFRSF21	6p12.3	9.37	9.60	1.00	1.19	-0.23	0.152	0.719	(B) White
PRCP	11q14.1	10.91	10.81	0.45	0.47	0.10	0.152	0.719	(A) Asian
GLB1	3p22.3	11.15	11.23	0.33	0.41	-0.08	0.152	0.719	(B) White
ZC2HC1B	6q24.2	0.11	0.17	0.22	0.29	-0.05	0.152	0.719	(B) White
HIST1H3J	6p22.1	0.24	0.32	0.35	0.47	-0.08	0.152	0.719	(B) White
RAN	12q24.33	11.33	11.38	0.23	0.27	-0.05	0.152	0.719	(B) White
STX19	3q11.2	1.78	1.53	1.15	0.91	0.25	0.152	0.719	(A) Asian
RC3H2	9q33.2	7.76	7.96	0.88	0.83	-0.19	0.152	0.719	(B) White
TPGS2	18q12.2	10.13	10.17	0.20	0.29	-0.05	0.152	0.719	(B) White
VWF	12p13.31	11.78	11.99	0.99	1.02	-0.22	0.152	0.719	(B) White
H1FOO	3q22.1	0.07	0.03	0.19	0.13	0.04	0.152	0.719	(A) Asian
NGF	1p13.2	3.49	3.25	1.06	0.96	0.23	0.152	0.719	(A) Asian
ACBD3	1q42.12	10.32	10.42	0.42	0.44	-0.09	0.152	0.719	(B) White
KRT24	17q21.2	0.12	0.24	0.53	0.58	-0.12	0.152	0.719	(B) White
ACOT9	Xp22.11	9.12	9.19	0.33	0.39	-0.08	0.152	0.720	(B) White
MSTO2P	1q22	6.34	6.20	0.61	0.72	0.14	0.152	0.720	(A) Asian
NCOA4	10q11.22	11.82	11.91	0.44	0.43	-0.10	0.152	0.720	(B) White
MOBP	3p22.1	1.45	1.24	0.94	0.99	0.21	0.152	0.720	(A) Asian
CDYL2	16q23.2	3.74	3.98	1.14	1.02	-0.25	0.153	0.720	(B) White
C17ORF99	17q25.3	0.43	0.53	0.45	0.67	-0.11	0.153	0.720	(B) White
SLC43A3	11q12.1	10.63	10.32	1.44	1.36	0.32	0.153	0.720	(A) Asian
SPATA32	17q21.31	2.09	1.93	0.73	0.71	0.16	0.153	0.720	(A) Asian
ARMT1	6q25.1	9.63	9.70	0.31	0.42	-0.07	0.153	0.721	(B) White
VENTXP7	3p24.3	0.15	0.08	0.30	0.29	0.07	0.153	0.721	(A) Asian
ODAM	4q13.3	2.01	1.49	2.41	2.03	0.52	0.153	0.721	(A) Asian
CCDC121	2p23.3	6.91	6.81	0.46	0.49	0.10	0.153	0.721	(A) Asian
TBC1D24	16p13.3	7.72	7.83	0.51	0.55	-0.11	0.153	0.721	(B) White
TMEM63A	1q42.12	9.35	9.25	0.45	0.47	0.10	0.153	0.721	(A) Asian
BST1	4p15.32	5.42	5.23	0.84	0.89	0.19	0.153	0.721	(A) Asian
MGAT4B	5q35.3	11.92	11.81	0.51	0.57	0.11	0.153	0.721	(A) Asian
OPN1SW	7q32.1	0.66	0.78	0.56	0.67	-0.13	0.153	0.721	(B) White
GRIN3B	19p13.3	2.39	2.08	1.43	1.41	0.31	0.153	0.721	(A) Asian
NPC2	14q24.3	15.44	15.27	0.74	0.95	0.17	0.153	0.721	(A) Asian
HPS1	10q24.2	10.74	10.67	0.33	0.34	0.07	0.153	0.721	(A) Asian
EML6	2p16.1	6.47	6.66	0.86	1.05	-0.20	0.153	0.721	(B) White
WHAMMP2	15q13.1	6.02	5.87	0.62	0.79	0.14	0.153	0.721	(A) Asian
MEAF6	1p34.3	11.12	11.04	0.36	0.43	0.08	0.153	0.721	(A) Asian
EFEMP1	2p16.1	10.39	10.05	1.56	1.32	0.34	0.154	0.722	(A) Asian
MAL	2q11.1	9.37	9.16	0.94	1.10	0.21	0.154	0.722	(A) Asian
SLC38A9	5q11.2	7.64	7.58	0.29	0.31	0.07	0.154	0.722	(A) Asian
DNALI1	1p34.3	8.84	8.57	1.19	1.41	0.27	0.154	0.722	(A) Asian
TMEM69	1p34.1	9.30	9.24	0.27	0.24	0.06	0.154	0.722	(A) Asian
KIF22	16p11.2	11.00	10.88	0.55	0.56	0.12	0.154	0.722	(A) Asian
LINC00608	2q35	0.03	0.00	0.10	0.05	0.02	0.154	0.722	(A) Asian
KAT14	20p11.23	9.37	9.42	0.21	0.26	-0.05	0.154	0.722	(B) White
TRDMT1	10p13	7.45	7.34	0.47	0.48	0.10	0.154	0.722	(A) Asian
STOX1	10q22.1	6.26	6.46	0.90	0.91	-0.20	0.154	0.723	(B) White
CPZ	4p16.1	8.02	8.42	1.81	1.64	-0.39	0.154	0.723	(B) White
DCUN1D4	4q12	9.34	9.25	0.42	0.36	0.09	0.154	0.723	(A) Asian
TC2N	14q32.12	8.32	8.55	1.05	0.88	-0.23	0.154	0.723	(B) White
TFDP2	3q23	8.33	8.40	0.30	0.33	-0.07	0.154	0.723	(B) White
PARP11	12p13.32	8.13	8.21	0.37	0.35	-0.08	0.154	0.723	(B) White
MAP9	4q32.1	8.72	8.84	0.53	0.52	-0.12	0.154	0.723	(B) White
XIAP	Xq25	10.76	10.83	0.34	0.32	-0.07	0.155	0.723	(B) White
LINC00294	11p13	7.20	7.11	0.39	0.46	0.09	0.155	0.723	(A) Asian
BAHCC1	17q25.3	9.41	9.30	0.52	0.53	0.11	0.155	0.724	(A) Asian
TMEM255B	13q34	6.21	6.01	0.93	0.78	0.20	0.155	0.725	(A) Asian
MAGEC3	Xq27.2	1.82	1.59	1.04	1.17	0.23	0.155	0.725	(A) Asian
RP1	8q11.23-q12.1	2.31	1.95	1.65	1.69	0.36	0.155	0.725	(A) Asian
ATP11A	13q34	12.15	11.93	1.01	1.04	0.22	0.155	0.725	(A) Asian
PDE1A	2q32.1	10.01	10.22	0.94	1.00	-0.21	0.155	0.725	(B) White
IDI2	10p15.3	5.48	5.56	0.37	0.42	-0.08	0.155	0.725	(B) White
THNSL1	10p12.1	8.19	8.10	0.39	0.47	0.09	0.155	0.725	(A) Asian
SIAH3	13q14.13	0.67	0.48	0.86	0.73	0.18	0.155	0.725	(A) Asian
ZNF566	19q13.12	7.60	7.53	0.35	0.38	0.08	0.155	0.725	(A) Asian
PAQR4	16p13.3	8.29	8.16	0.54	0.74	0.12	0.155	0.725	(A) Asian
PIWIL1	12q24.33	6.30	5.85	2.02	2.48	0.46	0.155	0.725	(A) Asian
SNHG15	7p13	7.46	7.23	1.09	1.08	0.24	0.155	0.726	(A) Asian
MYBBP1A	17p13.2	9.97	10.04	0.31	0.32	-0.07	0.156	0.726	(B) White
ACER2	9p22.1	5.99	6.26	1.25	1.27	-0.27	0.156	0.726	(B) White
PTGER4	5p13.1	7.29	7.02	1.24	1.27	0.27	0.156	0.726	(A) Asian
COQ10A	12q13.3	7.48	7.40	0.39	0.41	0.09	0.156	0.726	(A) Asian
XDH	2p23.1	3.45	3.92	2.07	2.53	-0.47	0.156	0.726	(B) White
LINC00592	12q13.13	0.78	0.92	0.61	0.61	-0.13	0.156	0.726	(B) White
IGF2BP2-AS1	3q27.2	0.51	0.42	0.43	0.52	0.10	0.156	0.726	(A) Asian
SOSTDC1	7p21.2	2.17	2.52	1.56	1.96	-0.35	0.156	0.726	(B) White
LTB4R	14q12	6.92	6.69	1.05	0.95	0.23	0.156	0.726	(A) Asian
JAGN1	3p25.3	9.66	9.60	0.29	0.31	0.06	0.156	0.726	(A) Asian
TRIM65	17q25.1	9.42	9.35	0.30	0.30	0.07	0.156	0.726	(A) Asian
SUSD4	1q41	7.03	7.29	1.14	1.31	-0.25	0.156	0.726	(B) White
PPP1R7	2q37.3	10.85	10.69	0.78	0.65	0.17	0.156	0.726	(A) Asian
PRR3	6p21.33	8.35	8.25	0.47	0.46	0.10	0.156	0.726	(A) Asian
CLSPN	1p34.3	3.81	4.11	1.37	1.34	-0.30	0.156	0.726	(B) White
TCIRG1	11q13.2	10.70	10.58	0.55	0.71	0.13	0.156	0.726	(A) Asian
NRDC	1p32.3	11.04	11.08	0.17	0.16	-0.04	0.156	0.726	(B) White
ZNF474	5q23.2	2.67	2.94	1.20	1.28	-0.26	0.156	0.726	(B) White
WDR31	9q32	5.22	5.54	1.50	1.15	-0.32	0.157	0.726	(B) White
MTMR11	1q21.2	7.94	7.75	0.85	1.07	0.19	0.157	0.726	(A) Asian
EGFLAM	5p13.2-p13.1	7.11	6.89	0.99	1.00	0.22	0.157	0.726	(A) Asian
PLCXD1	Xp22.33 and Yp11.32-p11.31	7.19	7.04	0.70	0.67	0.15	0.157	0.726	(A) Asian
PTAFR	1p35.3	5.55	5.86	1.43	1.37	-0.31	0.157	0.726	(B) White
FOXA1	14q21.1	2.29	2.61	1.43	1.64	-0.32	0.157	0.726	(B) White
SLFN12	17q12	7.04	7.18	0.64	0.48	-0.14	0.157	0.726	(B) White
PDE12	3p14.3	8.79	8.88	0.43	0.36	-0.09	0.157	0.726	(B) White
SRI	7q21.12	10.58	10.50	0.33	0.32	0.07	0.157	0.726	(A) Asian
RBBP8NL	20q13.33	6.28	6.54	1.22	1.18	-0.26	0.157	0.726	(B) White
CIB3	19p13.11	0.03	0.05	0.11	0.18	-0.03	0.157	0.726	(B) White
SNX32	11q13.1	1.23	1.42	0.82	1.02	-0.18	0.157	0.726	(B) White
SMARCA1	Xq25-q26.1	11.00	10.91	0.39	0.48	0.09	0.157	0.726	(A) Asian
IKBKE	1q32.1	9.23	9.10	0.59	0.54	0.13	0.157	0.726	(A) Asian
DHTKD1	10p14	9.14	9.24	0.46	0.48	-0.10	0.157	0.726	(B) White
ZP2	16p12.3-p12.2	0.15	0.08	0.30	0.23	0.06	0.157	0.726	(A) Asian
SLC22A12	11q13.1	0.09	0.16	0.29	0.47	-0.07	0.157	0.726	(B) White
AVL9	7p14.3	7.79	7.94	0.67	0.69	-0.15	0.157	0.726	(B) White
SLC35A3	1p21.2	8.16	8.31	0.65	0.69	-0.14	0.157	0.726	(B) White
FAM110D	1p36.11	5.79	5.59	0.88	0.98	0.19	0.157	0.726	(A) Asian
ASPRV1	2p13.3	4.73	4.89	0.73	0.69	-0.16	0.157	0.726	(B) White
SLC9A3R2	16p13.3	11.05	10.89	0.71	0.75	0.16	0.158	0.726	(A) Asian
LMOD2	7q31.32	0.15	0.24	0.29	0.89	-0.09	0.158	0.726	(B) White
DMGDH	5q14.1	6.45	6.22	0.98	1.30	0.22	0.158	0.726	(A) Asian
RNF150	4q31.21	4.76	5.03	1.22	1.22	-0.27	0.158	0.726	(B) White
FLT4	5q35.3	9.24	9.02	0.99	1.04	0.22	0.158	0.726	(A) Asian
GNAS	20q13.32	16.07	15.91	0.68	0.86	0.15	0.158	0.726	(A) Asian
TUBA3E	2q21.1	0.64	0.75	0.47	0.77	-0.11	0.158	0.726	(B) White
TMEM272	13q14.3	1.47	1.62	0.63	0.84	-0.14	0.158	0.726	(B) White
ANKEF1	20p12.2	7.07	7.22	0.68	0.75	-0.15	0.158	0.726	(B) White
KTI12	1p32.3	7.55	7.49	0.26	0.29	0.06	0.158	0.726	(A) Asian
HORMAD2	22q12.2	0.96	0.80	0.75	0.71	0.16	0.158	0.726	(A) Asian
PLEKHG6	12p13.31	6.90	7.09	0.90	0.72	-0.19	0.158	0.726	(B) White
MUSTN1	3p21.1	5.43	5.12	1.44	1.24	0.31	0.158	0.726	(A) Asian
PIM1	6p21.2	8.67	8.84	0.72	0.95	-0.16	0.158	0.726	(B) White
IQSEC2	Xp11.22	8.65	8.71	0.24	0.28	-0.05	0.158	0.726	(B) White
PEX11B	1q21.1	9.79	9.83	0.21	0.25	-0.05	0.158	0.726	(B) White
NRN1	6p25.1	6.44	6.28	0.74	0.82	0.16	0.158	0.726	(A) Asian
MTMR14	3p25.3	9.66	9.72	0.27	0.32	-0.06	0.158	0.726	(B) White
PDP1	8q22.1	10.10	10.00	0.45	0.58	0.10	0.158	0.726	(A) Asian
ANAPC2	9q34.3	9.49	9.43	0.26	0.31	0.06	0.158	0.726	(A) Asian
HOXD10	2q31.1	1.39	1.68	1.30	1.75	-0.30	0.158	0.726	(B) White
ESR1	6q25.1-q25.2	8.33	7.98	1.57	1.76	0.35	0.159	0.726	(A) Asian
TRIM33	1p13.2	10.05	10.12	0.32	0.34	-0.07	0.159	0.726	(B) White
LRRC75A	17p11.2	8.43	8.30	0.61	0.69	0.13	0.159	0.726	(A) Asian
LOC100130987	11q13.2	3.84	3.97	0.58	0.72	-0.13	0.159	0.726	(B) White
ALG10B	12q12	7.95	8.03	0.41	0.42	-0.09	0.159	0.726	(B) White
KIF26B	1q44	6.22	6.44	1.01	1.07	-0.22	0.159	0.726	(B) White
IRS1	2q36.3	10.21	10.00	0.95	1.07	0.21	0.159	0.726	(A) Asian
CHRM2	7q33	0.08	0.04	0.20	0.20	0.04	0.159	0.726	(A) Asian
ZNF135	19q13.43	7.85	7.78	0.29	0.33	0.06	0.159	0.726	(A) Asian
PPT2	6p21.32	7.94	7.86	0.37	0.47	0.08	0.159	0.726	(A) Asian
PCDHA13	5q31.3	5.58	5.25	1.53	1.56	0.33	0.159	0.726	(A) Asian
ANKRD13D	11q13.2	9.15	9.04	0.51	0.51	0.11	0.159	0.726	(A) Asian
DICER1	14q32.13	10.02	10.13	0.51	0.51	-0.11	0.159	0.726	(B) White
XAF1	17p13.1	8.81	8.59	1.04	1.03	0.22	0.159	0.726	(A) Asian
SLC17A5	6q13	11.79	11.64	0.63	0.79	0.14	0.159	0.726	(A) Asian
LOH12CR2	12p13.2	5.08	4.94	0.64	0.81	0.14	0.159	0.726	(A) Asian
USP38	4q31.21	9.44	9.51	0.32	0.35	-0.07	0.159	0.726	(B) White
ZNF383	19q13.12	6.32	6.25	0.35	0.40	0.08	0.159	0.726	(A) Asian
CCDC153	11q23.3	3.91	4.10	0.85	0.93	-0.19	0.159	0.726	(B) White
SHOX2	3q25.32	3.24	2.98	1.15	1.37	0.26	0.160	0.726	(A) Asian
CH25H	10q23.31	6.68	6.37	1.35	1.79	0.31	0.160	0.726	(A) Asian
ZDHHC13	11p15.1	8.10	8.17	0.31	0.40	-0.07	0.160	0.726	(B) White
CAP1	1p34.2	12.54	12.60	0.27	0.31	-0.06	0.160	0.726	(B) White
HDAC8	Xq13.1	8.69	8.62	0.32	0.34	0.07	0.160	0.726	(A) Asian
CPN2	3q29	0.55	0.70	0.65	0.82	-0.15	0.160	0.726	(B) White
C5ORF63	5q23.2	4.74	4.58	0.73	0.89	0.16	0.160	0.727	(A) Asian
MARF1	16p13.11	11.01	10.94	0.27	0.34	0.06	0.160	0.727	(A) Asian
FAM74A1	9p12	0.09	0.03	0.26	0.13	0.05	0.160	0.727	(A) Asian
SH3RF2	5q32	7.77	8.01	1.11	1.03	-0.24	0.160	0.727	(B) White
USP18	22q11.21	8.56	8.41	0.70	0.75	0.15	0.160	0.727	(A) Asian
ATP2B3	Xq28	0.18	0.30	0.43	1.03	-0.12	0.160	0.727	(B) White
SOCS5	2p21	9.13	9.05	0.36	0.41	0.08	0.160	0.727	(A) Asian
STPG1	1p36.11	8.09	8.15	0.32	0.29	-0.07	0.160	0.727	(B) White
OR4D10	11q12.1	2.60	2.26	1.55	1.74	0.34	0.160	0.727	(A) Asian
NCAPG	4p15.31	5.36	5.15	0.96	1.22	0.22	0.160	0.727	(A) Asian
CACNG2	22q12.3	0.09	0.03	0.30	0.15	0.06	0.160	0.727	(A) Asian
LAIR2	19q13.42	1.79	1.51	1.29	1.33	0.28	0.160	0.727	(A) Asian
SRSF6	20q13.11	11.74	11.67	0.36	0.35	0.08	0.161	0.727	(A) Asian
ARL8A	1q32.1	10.25	10.30	0.25	0.27	-0.05	0.161	0.727	(B) White
ZNF799	19p13.2	6.78	6.70	0.38	0.38	0.08	0.161	0.728	(A) Asian
OAS3	12q24.13	9.28	9.10	0.81	1.02	0.18	0.161	0.728	(A) Asian
KRT86	12q13.13	5.28	5.48	0.91	0.89	-0.20	0.161	0.728	(B) White
AZI2	3p24.1	9.74	9.67	0.33	0.28	0.07	0.161	0.728	(A) Asian
UMODL1	21q22.3	0.26	0.36	0.41	0.51	-0.09	0.161	0.728	(B) White
MAPK7	17p11.2	8.76	8.82	0.27	0.29	-0.06	0.161	0.728	(B) White
MRPS16	10q22.2	10.37	10.43	0.27	0.29	-0.06	0.161	0.728	(B) White
MAN2A1	5q21.3	7.89	8.17	1.34	1.22	-0.29	0.161	0.728	(B) White
FAM138D	12p13.33	0.04	0.01	0.13	0.10	0.03	0.161	0.729	(A) Asian
LOC155060	7q36.1	7.44	7.26	0.84	0.89	0.18	0.161	0.729	(A) Asian
ZNF334	20q13.12	7.72	7.57	0.70	0.77	0.15	0.161	0.729	(A) Asian
ZNF112	19q13.31	7.25	7.17	0.40	0.46	0.09	0.161	0.729	(A) Asian
LCA5L	21q22.2	6.13	6.24	0.50	0.65	-0.11	0.162	0.730	(B) White
LINC00112	21q22.3	0.07	0.03	0.21	0.11	0.04	0.162	0.730	(A) Asian
BLOC1S2	10q24.31	9.77	9.84	0.29	0.32	-0.06	0.162	0.730	(B) White
RBM28	7q32.1	8.24	8.28	0.19	0.28	-0.04	0.162	0.730	(B) White
DCDC1	11p13	1.52	1.68	0.73	0.91	-0.16	0.162	0.730	(B) White
ELP6	3p21.31	9.03	8.95	0.35	0.39	0.08	0.162	0.730	(A) Asian
TIMM10	11q12.1	8.63	8.73	0.44	0.53	-0.10	0.162	0.730	(B) White
LOC441601	11p11.12	0.46	0.26	0.99	0.38	0.20	0.162	0.730	(A) Asian
GPRASP2	Xq22.1	9.39	9.31	0.31	0.52	0.07	0.162	0.730	(A) Asian
CLDN18	3q22.3	0.99	0.82	0.84	0.67	0.18	0.162	0.730	(A) Asian
PRDM12	9q34.12	0.56	0.66	0.45	0.66	-0.10	0.162	0.731	(B) White
PPP1R1B	17q12	7.28	6.81	2.18	2.38	0.47	0.162	0.731	(A) Asian
C22ORF24	22q12.3	0.54	0.65	0.51	0.50	-0.11	0.162	0.731	(B) White
HDDC3	15q26.1	8.26	8.36	0.47	0.45	-0.10	0.163	0.731	(B) White
YJU2	19p13.3	9.18	9.09	0.43	0.49	0.09	0.163	0.731	(A) Asian
ATG4B	2q37.3	9.99	9.91	0.37	0.41	0.08	0.163	0.731	(A) Asian
ANKRD36B	2q11.2	4.28	4.07	1.00	1.08	0.22	0.163	0.731	(A) Asian
HIST1H2BC	6p22.2	5.00	5.22	0.99	1.17	-0.22	0.163	0.731	(B) White
SERPING1	11q12.1	11.98	11.78	0.90	1.05	0.20	0.163	0.731	(A) Asian
BCKDHA	19q13.2	10.51	10.59	0.33	0.43	-0.07	0.163	0.731	(B) White
FGFR3	4p16.3	6.52	6.87	1.61	1.55	-0.34	0.163	0.731	(B) White
ADGRE5	19p13.12	10.93	10.75	0.88	0.77	0.19	0.163	0.732	(A) Asian
VCPKMT	14q21.3	7.04	7.11	0.32	0.38	-0.07	0.163	0.732	(B) White
VPS37C	11q12.2	9.13	9.09	0.17	0.24	0.04	0.163	0.732	(A) Asian
UBR7	14q32.12	9.84	9.79	0.21	0.23	0.05	0.163	0.732	(A) Asian
APBB1	11p15.4	9.78	9.70	0.38	0.42	0.08	0.163	0.732	(A) Asian
TOP3B	22q11.22	8.07	8.00	0.36	0.39	0.08	0.163	0.732	(A) Asian
CNIH3	1q42.12	6.22	6.04	0.85	0.91	0.18	0.163	0.732	(A) Asian
ERO1A	14q22.1	9.05	9.18	0.59	0.66	-0.13	0.163	0.733	(B) White
NEUROD1	2q31.3	0.04	0.09	0.20	0.33	-0.05	0.163	0.733	(B) White
TMEM92	17q21.33	5.72	5.26	2.05	2.75	0.46	0.163	0.733	(A) Asian
NPY5R	4q32.2	1.62	1.39	1.03	1.18	0.23	0.163	0.733	(A) Asian
MIPOL1	14q13.3-q21.1	6.24	6.36	0.56	0.57	-0.12	0.163	0.733	(B) White
CD83	6p23	8.89	8.73	0.72	0.69	0.15	0.164	0.733	(A) Asian
PRPF4	9q32	8.93	8.98	0.26	0.25	-0.06	0.164	0.733	(B) White
TANC2	17q23.2-q23.3	8.87	8.99	0.55	0.64	-0.12	0.164	0.733	(B) White
RBM33	7q36.3	9.76	9.68	0.36	0.39	0.08	0.164	0.733	(A) Asian
LGI3	8p21.3	7.66	7.32	1.56	1.86	0.34	0.164	0.733	(A) Asian
ANGPTL3	1p31.3	0.50	0.41	0.41	0.49	0.09	0.164	0.733	(A) Asian
H3F3B	17q25.1	13.69	13.76	0.31	0.32	-0.07	0.164	0.733	(B) White
GALR3	22q13.1	0.44	0.32	0.61	0.48	0.13	0.164	0.733	(A) Asian
DHX58	17q21.2	8.26	8.11	0.71	0.92	0.16	0.164	0.733	(A) Asian
RIPOR2	6p22.3	7.31	7.63	1.50	1.45	-0.32	0.164	0.733	(B) White
NUMBL	19q13.2	8.42	8.27	0.71	0.68	0.15	0.164	0.733	(A) Asian
TMEM100	17q22	7.44	7.01	1.95	2.23	0.43	0.164	0.733	(A) Asian
ACAT2	6q25.3	7.90	7.81	0.39	0.44	0.08	0.164	0.733	(A) Asian
KCNIP1	5q35.1	1.42	1.13	1.39	1.10	0.29	0.164	0.733	(A) Asian
MSTN	2q32.2	2.64	2.82	0.80	1.07	-0.18	0.164	0.733	(B) White
ZNF275	Xq28	8.80	8.90	0.48	0.58	-0.11	0.164	0.733	(B) White
DNAJC30	7q11.23	9.24	9.31	0.33	0.38	-0.07	0.164	0.733	(B) White
PLXNB1	3p21.31	12.01	11.91	0.46	0.51	0.10	0.165	0.733	(A) Asian
ZNF727	7q11.21	3.84	4.17	1.56	1.41	-0.33	0.165	0.733	(B) White
DIPK1C	18q22.3	2.05	1.74	1.44	1.39	0.31	0.165	0.733	(A) Asian
PEF1	1p35.2	11.54	11.61	0.30	0.37	-0.07	0.165	0.733	(B) White
ZSWIM2	2q32.1	0.09	0.03	0.27	0.16	0.05	0.165	0.733	(A) Asian
ATG4D	19p13.2	8.53	8.43	0.47	0.48	0.10	0.165	0.733	(A) Asian
TSNARE1	8q24.3	8.32	8.24	0.34	0.38	0.07	0.165	0.733	(A) Asian
VDAC2	10q22.2	10.18	10.25	0.31	0.31	-0.07	0.165	0.733	(B) White
CNGA3	2q11.2	3.03	2.77	1.21	1.26	0.26	0.165	0.733	(A) Asian
NFATC1	18q23	7.82	7.64	0.82	0.89	0.18	0.165	0.733	(A) Asian
TRUB1	10q25.3	8.78	8.87	0.45	0.45	-0.10	0.165	0.733	(B) White
OSGEPL1	2q32.2	7.37	7.29	0.36	0.33	0.08	0.165	0.733	(A) Asian
WDR88	19q13.11	2.10	1.97	0.61	0.66	0.13	0.165	0.733	(A) Asian
INPP5F	10q26.11	9.80	9.70	0.41	0.53	0.09	0.165	0.733	(A) Asian
SNORA47	5q13.3	0.04	0.08	0.17	0.29	-0.04	0.165	0.733	(B) White
CHRD	3q27.1	5.76	5.52	1.12	1.13	0.24	0.165	0.733	(A) Asian
LNPEP	5q15	6.79	7.03	1.13	1.15	-0.24	0.165	0.734	(B) White
TMTC2	12q21.31	7.81	7.98	0.84	0.73	-0.18	0.165	0.734	(B) White
FAM24B	10q26.13	4.89	4.74	0.69	0.93	0.15	0.165	0.734	(A) Asian
SERHL2	22q13.2	4.16	3.88	1.30	1.36	0.28	0.165	0.734	(A) Asian
TTLL1	22q13.2	7.65	7.75	0.45	0.42	-0.10	0.165	0.734	(B) White
HMCN1	1q25.3-q31.1	6.87	7.11	1.16	1.20	-0.25	0.165	0.734	(B) White
MEP1B	18q12.1	0.24	0.17	0.34	0.29	0.07	0.165	0.734	(A) Asian
CYB5R4	6q14.2	7.21	7.32	0.46	0.55	-0.10	0.165	0.734	(B) White
MDH1B	2q33.3	5.83	5.66	0.77	0.93	0.17	0.165	0.734	(A) Asian
CCDC134	22q13.2	5.73	5.83	0.48	0.49	-0.10	0.165	0.734	(B) White
NANOS3	19p13.12	3.73	3.53	0.92	1.02	0.20	0.166	0.734	(A) Asian
TAS1R3	1p36.33	4.30	4.02	1.31	1.26	0.28	0.166	0.734	(A) Asian
ID3	1p36.12	11.04	11.21	0.78	0.97	-0.17	0.166	0.734	(B) White
GPR18	13q32.3	3.10	2.82	1.29	1.49	0.28	0.166	0.734	(A) Asian
BANP	16q24.2	7.81	7.75	0.25	0.34	0.06	0.166	0.734	(A) Asian
HIST1H2BK	6p22.1	9.67	9.79	0.55	0.67	-0.12	0.166	0.734	(B) White
CCDC130	19p13.13	9.07	8.96	0.49	0.51	0.11	0.166	0.735	(A) Asian
RAMP2-AS1	17q21.2	4.36	4.19	0.80	0.83	0.17	0.166	0.735	(A) Asian
RRAS	19q13.33	10.91	10.75	0.72	0.71	0.15	0.166	0.735	(A) Asian
ERGIC2	12p11.22	9.34	9.39	0.24	0.27	-0.05	0.166	0.735	(B) White
HAND2	4q34.1	2.88	3.23	1.67	1.72	-0.36	0.167	0.736	(B) White
NAIP	5q13.2	5.64	5.40	1.11	1.10	0.24	0.167	0.737	(A) Asian
SHROOM3	4q21.1	9.93	9.82	0.49	0.66	0.11	0.167	0.737	(A) Asian
MAPK1IP1L	14q22.3	10.76	10.80	0.18	0.23	-0.04	0.167	0.737	(B) White
FRMPD2	10q11.22	3.87	4.18	1.44	1.64	-0.31	0.167	0.737	(B) White
PKDREJ	22q13.31	2.61	2.44	0.81	0.73	0.17	0.167	0.737	(A) Asian
ARHGAP1	11p11.2	11.53	11.59	0.26	0.33	-0.06	0.167	0.737	(B) White
DNAJC1	10p12.31	9.92	9.83	0.41	0.42	0.09	0.167	0.737	(A) Asian
OAZ2	15q22.31	11.26	11.20	0.30	0.33	0.06	0.167	0.737	(A) Asian
GDF7	2p24.1	0.34	0.44	0.45	0.60	-0.10	0.167	0.737	(B) White
LRIT2	10q23.1	0.35	0.24	0.52	0.46	0.11	0.167	0.737	(A) Asian
FAM221B	9p13.3	1.44	1.61	0.81	0.87	-0.17	0.167	0.737	(B) White
HIST4H4	12p12.3	3.97	3.84	0.63	0.79	0.14	0.167	0.737	(A) Asian
MIR9-3HG	15q26.1	4.89	4.42	2.22	2.22	0.47	0.167	0.737	(A) Asian
TRIP10	19p13.3	10.72	10.63	0.39	0.43	0.08	0.167	0.737	(A) Asian
SLC17A7	19q13.33	3.56	3.28	1.36	1.24	0.28	0.168	0.737	(A) Asian
OGA	10q24.32	11.93	11.87	0.28	0.31	0.06	0.168	0.737	(A) Asian
PKN3	9q34.11	7.88	7.79	0.43	0.49	0.09	0.168	0.737	(A) Asian
AHI1	6q23.3	8.66	8.57	0.41	0.49	0.09	0.168	0.737	(A) Asian
KRT8	12q13.13	13.95	14.08	0.60	0.62	-0.13	0.168	0.737	(B) White
CHIAP2	1p13.2	0.99	1.19	0.92	1.01	-0.20	0.168	0.737	(B) White
PRAMEF2	1p36.21	0.01	0.03	0.07	0.12	-0.02	0.168	0.737	(B) White
CDK14	7q21.13	9.38	9.52	0.66	0.63	-0.14	0.168	0.737	(B) White
ESRRG	1q41	6.14	6.36	1.01	1.24	-0.22	0.168	0.737	(B) White
GLIS3	9p24.2	9.61	9.74	0.60	0.67	-0.13	0.168	0.737	(B) White
TBXT	6q27	1.19	0.87	1.55	1.40	0.32	0.168	0.737	(A) Asian
