Gene	Cytoband	(A) Asian	(B) White	(A) Asian	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
LOC728613	5p15.33	7.50	7.12	1.08	1.14	0.37	2.623e-3	0.0234	(A) Asian
FOXC1	6p25.3	5.69	6.25	1.64	1.67	-0.55	2.630e-3	0.0235	(B) White
TICRR	15q26.1	5.77	5.25	1.53	1.62	0.53	2.638e-3	0.0235	(A) Asian
CDR1	Xq27.1	0.88	0.46	1.47	0.97	0.42	2.638e-3	0.0235	(A) Asian
RBM48	7q21.2	7.54	7.69	0.40	0.48	-0.15	2.647e-3	0.0236	(B) White
SCN11A	3p22.2	1.45	1.86	1.08	1.36	-0.41	2.651e-3	0.0236	(B) White
MGME1	20p11.23	8.84	8.66	0.54	0.51	0.18	2.651e-3	0.0236	(A) Asian
COMMD4	15q24.2	11.15	10.92	0.66	0.71	0.23	2.652e-3	0.0236	(A) Asian
THEM6	8q24.3	11.18	10.89	0.94	0.82	0.30	2.653e-3	0.0236	(A) Asian
OLFML1	11p15.4	6.87	7.41	1.68	1.59	-0.55	2.655e-3	0.0236	(B) White
FKBP9P1	7p11.2	3.83	4.26	1.40	1.09	-0.42	2.657e-3	0.0236	(B) White
GPR137C	14q22.1	5.48	5.09	1.20	1.12	0.39	2.659e-3	0.0236	(A) Asian
ACTB	7p22.1	16.18	16.01	0.54	0.49	0.17	2.661e-3	0.0236	(A) Asian
RALY	20q11.22	11.55	11.36	0.58	0.59	0.19	2.667e-3	0.0236	(A) Asian
STK35	20p13	9.21	9.42	0.67	0.62	-0.22	2.667e-3	0.0236	(B) White
MIGA1	1p31.1	7.80	8.14	1.09	0.95	-0.34	2.667e-3	0.0236	(B) White
DNAJA3	16p13.3	10.77	10.96	0.62	0.49	-0.19	2.670e-3	0.0236	(B) White
CCDC91	12p11.22	8.15	8.32	0.51	0.54	-0.18	2.670e-3	0.0236	(B) White
XPC	3p25.1	10.08	10.27	0.55	0.56	-0.19	2.687e-3	0.0238	(B) White
API5	11p12	10.69	10.82	0.40	0.37	-0.13	2.688e-3	0.0238	(B) White
FOXM1	12p13.33	8.94	8.43	1.53	1.55	0.51	2.690e-3	0.0238	(A) Asian
ZNF385B	2q31.2-q31.3	6.22	7.01	2.51	2.21	-0.79	2.694e-3	0.0238	(B) White
OR4N4	15q11.2	0.10	0.41	0.57	1.22	-0.31	2.695e-3	0.0238	(B) White
RSBN1L	7q11.23	7.72	7.92	0.62	0.59	-0.20	2.703e-3	0.0238	(B) White
PRKG2	4q21.21	0.36	0.69	0.89	1.09	-0.33	2.703e-3	0.0238	(B) White
ZDHHC20	13q12.11	4.80	5.42	1.94	1.77	-0.62	2.703e-3	0.0238	(B) White
MYO5A	15q21.2	7.70	8.08	1.10	1.19	-0.38	2.713e-3	0.0239	(B) White
HCN3	1q22	7.72	7.42	0.87	0.95	0.30	2.716e-3	0.0239	(A) Asian
GPR146	7p22.3	7.73	8.05	0.97	0.99	-0.33	2.716e-3	0.0239	(B) White
NECAB3	20q11.22	10.13	9.86	0.85	0.79	0.27	2.723e-3	0.0240	(A) Asian
EMG1	12p13.31	9.36	9.13	0.64	0.74	0.23	2.723e-3	0.0240	(A) Asian
HNRNPU	1q44	13.06	12.94	0.35	0.39	0.12	2.724e-3	0.0240	(A) Asian
LRG1	19p13.3	12.62	13.20	1.94	1.46	-0.58	2.724e-3	0.0240	(B) White
ANXA13	8q24.13	8.21	7.22	2.71	3.20	0.98	2.728e-3	0.0240	(A) Asian
SH3BP1	22q13.1	7.37	6.86	1.51	1.51	0.50	2.736e-3	0.0240	(A) Asian
CFAP298	21q22.11	9.31	9.14	0.52	0.49	0.17	2.737e-3	0.0240	(A) Asian
PDE4B	1p31.3	6.78	7.27	1.44	1.54	-0.50	2.738e-3	0.0240	(B) White
CCT5	5p15.2	12.03	11.83	0.67	0.56	0.21	2.742e-3	0.0241	(A) Asian
ZBTB45	19q13.43	7.86	7.69	0.55	0.53	0.18	2.745e-3	0.0241	(A) Asian
DGKE	17q22	6.19	6.62	1.31	1.26	-0.43	2.748e-3	0.0241	(B) White
PES1	22q12.2	11.05	10.85	0.58	0.61	0.20	2.753e-3	0.0241	(A) Asian
CD200R1	3q13.2	3.08	3.50	1.28	1.25	-0.42	2.762e-3	0.0242	(B) White
EEF1B2	2q33.3	12.24	12.01	0.68	0.71	0.23	2.765e-3	0.0242	(A) Asian
DNM3	1q24.3	4.60	4.98	1.06	1.19	-0.37	2.773e-3	0.0243	(B) White
TRANK1	3p22.2	8.81	9.16	1.08	1.05	-0.35	2.777e-3	0.0243	(B) White
TMSB4Y	Yq11.221	3.18	2.43	2.17	2.35	0.75	2.780e-3	0.0243	(A) Asian
KIF21A	12q12	9.44	9.68	0.82	0.64	-0.25	2.788e-3	0.0244	(B) White
VGLL3	3p12.1	4.52	5.09	1.65	1.77	-0.57	2.788e-3	0.0244	(B) White
PCDHGA6	5q31.3	2.73	3.26	1.71	1.50	-0.54	2.790e-3	0.0244	(B) White
GNL2	1p34.3	10.34	10.18	0.54	0.43	0.16	2.791e-3	0.0244	(A) Asian
ANXA11	10q22.3	11.82	11.63	0.58	0.56	0.19	2.795e-3	0.0244	(A) Asian
TRIM36	5q22.3	3.33	3.82	1.56	1.40	-0.49	2.797e-3	0.0244	(B) White
BANF1	11q13.1	11.63	11.43	0.60	0.58	0.20	2.804e-3	0.0244	(A) Asian
TXNRD3NB	3q21.3	7.73	7.92	0.65	0.46	-0.19	2.814e-3	0.0245	(B) White
PHAX	5q23.2	9.01	8.85	0.52	0.48	0.17	2.817e-3	0.0245	(A) Asian
SLC8A1	2p22.1	5.53	5.94	1.26	1.23	-0.41	2.817e-3	0.0245	(B) White
TESPA1	12q13.2	2.94	3.46	1.64	1.47	-0.52	2.835e-3	0.0247	(B) White
LEMD2	6p21.31	10.21	10.04	0.49	0.51	0.17	2.835e-3	0.0247	(A) Asian
PARP11	12p13.32	6.63	6.88	0.76	0.75	-0.25	2.836e-3	0.0247	(B) White
SGK1	6q23.2	9.87	10.31	1.29	1.37	-0.44	2.839e-3	0.0247	(B) White
CCDC113	16q21	5.32	5.87	1.80	1.47	-0.55	2.845e-3	0.0247	(B) White
RUSC1	1q22	9.27	9.00	0.84	0.80	0.27	2.848e-3	0.0247	(A) Asian
HSPE1	2q33.1	12.36	12.14	0.68	0.68	0.23	2.848e-3	0.0247	(A) Asian
GTF2A1L	2p16.3	0.67	1.04	1.00	1.23	-0.37	2.861e-3	0.0248	(B) White
TSPO2	6p21.1	3.60	3.03	1.72	1.71	0.57	2.864e-3	0.0248	(A) Asian
RPS24	10q22.3	14.10	13.81	0.89	0.87	0.29	2.873e-3	0.0249	(A) Asian
LARS2	3p21.31	8.89	9.09	0.59	0.63	-0.20	2.878e-3	0.0249	(B) White
RPL10	Xq28	13.95	13.72	0.67	0.66	0.22	2.881e-3	0.0250	(A) Asian
COA6	1q42.2	9.70	9.45	0.76	0.78	0.25	2.887e-3	0.0250	(A) Asian
PDPK1	16p13.3	9.65	9.94	0.91	0.82	-0.29	2.896e-3	0.0251	(B) White
VASN	16p13.3	9.99	10.30	0.96	0.88	-0.31	2.906e-3	0.0251	(B) White
CAPN7	3p25.1	9.09	9.25	0.46	0.51	-0.16	2.909e-3	0.0252	(B) White
DPYSL4	10q26.3	2.45	3.12	1.83	2.24	-0.67	2.910e-3	0.0252	(B) White
NIM1K	5p12	1.92	2.38	1.41	1.37	-0.46	2.914e-3	0.0252	(B) White
TRMT112	11q13.1	11.52	11.32	0.57	0.58	0.19	2.915e-3	0.0252	(A) Asian
SNX1	15q22.31	10.98	11.15	0.47	0.52	-0.16	2.918e-3	0.0252	(B) White
KCNJ16	17q24.3	1.82	2.70	2.30	3.01	-0.88	2.921e-3	0.0252	(B) White
SERF1A	5q13.2	8.55	8.35	0.61	0.62	0.20	2.925e-3	0.0252	(A) Asian
IGSF9B	11q25	0.80	1.15	1.03	1.06	-0.35	2.926e-3	0.0252	(B) White
ILF2	1q21.3	11.81	11.62	0.55	0.57	0.19	2.928e-3	0.0252	(A) Asian
TTC9B	19q13.2	0.32	0.16	0.53	0.37	0.15	2.930e-3	0.0252	(A) Asian
U2AF2	19q13.42	11.48	11.35	0.39	0.40	0.13	2.934e-3	0.0253	(A) Asian
KISS1R	19p13.3	1.80	1.14	2.21	1.68	0.66	2.938e-3	0.0253	(A) Asian
RAB30	11q14.1	4.89	5.22	1.02	0.98	-0.33	2.939e-3	0.0253	(B) White
ATXN1	6p22.3	9.04	9.28	0.70	0.80	-0.25	2.947e-3	0.0253	(B) White
NFIL3	9q22.31	9.86	10.16	0.92	0.89	-0.30	2.951e-3	0.0254	(B) White
TMEM60	7q11.23	8.53	8.35	0.57	0.50	0.18	2.952e-3	0.0254	(A) Asian
TP53INP2	20q11.22	10.50	10.80	0.87	0.95	-0.30	2.953e-3	0.0254	(B) White
RPRD1B	20q11.23	10.00	10.22	0.62	0.66	-0.21	2.955e-3	0.0254	(B) White
TRMT1	19p13.13	9.76	9.57	0.59	0.59	0.20	2.966e-3	0.0255	(A) Asian
SPRY2	13q31.1	7.93	8.22	0.97	0.80	-0.30	2.970e-3	0.0255	(B) White
FAM110A	20p13	7.39	7.08	0.89	0.99	0.31	2.980e-3	0.0255	(A) Asian
ATP5MC2	12q13.13	12.67	12.48	0.55	0.60	0.19	2.980e-3	0.0255	(A) Asian
RSL24D1	15q21.3	10.58	10.44	0.43	0.45	0.15	2.986e-3	0.0256	(A) Asian
THRSP	11q14.1	6.21	7.51	3.87	4.05	-1.31	2.989e-3	0.0256	(B) White
CHEK1	11q24.2	7.19	6.86	0.99	1.01	0.33	2.995e-3	0.0256	(A) Asian
FDXACB1	11q23.1	6.37	6.13	0.71	0.69	0.23	2.999e-3	0.0257	(A) Asian
PHF19	9q33.2	8.29	7.95	1.07	0.96	0.34	3.002e-3	0.0257	(A) Asian
SUGT1P1	9p13.3	1.17	1.53	1.08	1.16	-0.37	3.003e-3	0.0257	(B) White
UHMK1	1q23.3	6.91	7.53	1.89	1.83	-0.61	3.006e-3	0.0257	(B) White
BET1	7q21.3	9.00	9.15	0.41	0.48	-0.15	3.008e-3	0.0257	(B) White
DNAJC18	5q31.2	5.24	4.90	1.01	1.01	0.33	3.008e-3	0.0257	(A) Asian
NPB	17q25.3	4.25	3.64	1.97	1.70	0.61	3.010e-3	0.0257	(A) Asian
PGGT1B	5q22.3	8.22	8.38	0.50	0.46	-0.16	3.010e-3	0.0257	(B) White
SLC16A7	12q14.1	4.66	5.29	1.99	1.80	-0.63	3.017e-3	0.0257	(B) White
UBE2S	19q13.42	8.67	8.32	1.11	1.04	0.36	3.027e-3	0.0258	(A) Asian
NEK9	14q24.3	10.58	10.74	0.47	0.50	-0.16	3.029e-3	0.0258	(B) White
MAML2	11q21	5.20	5.72	1.64	1.46	-0.51	3.033e-3	0.0258	(B) White
GSAP	7q11.23	8.62	8.88	0.77	0.85	-0.27	3.038e-3	0.0259	(B) White
MYL6B	12q13.2	9.21	8.89	0.93	0.96	0.31	3.039e-3	0.0259	(A) Asian
LYAR	4p16.3	8.28	8.06	0.72	0.61	0.22	3.042e-3	0.0259	(A) Asian
PAQR4	16p13.3	8.53	8.12	1.29	1.22	0.41	3.042e-3	0.0259	(A) Asian
LINC00634	22q13.2	1.64	1.24	1.26	1.11	0.39	3.044e-3	0.0259	(A) Asian
TBC1D15	12q21.1	9.61	9.74	0.40	0.39	-0.13	3.054e-3	0.0259	(B) White
SFRP1	8p11.21	3.35	4.02	1.98	2.12	-0.68	3.055e-3	0.0259	(B) White
VWA5A	11q24.2	6.84	7.35	1.60	1.49	-0.51	3.055e-3	0.0259	(B) White
CENPF	1q41	9.12	8.62	1.45	1.60	0.50	3.055e-3	0.0259	(A) Asian
ATP6V0D1	16q22.1	11.00	11.19	0.63	0.56	-0.20	3.066e-3	0.0260	(B) White
ELK3	12q23.1	6.50	6.97	1.45	1.41	-0.47	3.069e-3	0.0260	(B) White
ACE	17q23.3	7.15	7.58	1.35	1.28	-0.43	3.073e-3	0.0260	(B) White
RAB11FIP3	16p13.3	9.64	9.87	0.80	0.55	-0.23	3.078e-3	0.0261	(B) White
LINC00552	13q34	0.14	0.33	0.36	0.76	-0.19	3.083e-3	0.0261	(B) White
CDK1	10q21.2	8.45	7.98	1.40	1.50	0.48	3.084e-3	0.0261	(A) Asian
NT5C1B	2p24.2	1.01	1.30	0.86	0.89	-0.29	3.095e-3	0.0262	(B) White
ALG1L	3q21.2	6.92	6.17	2.24	2.35	0.75	3.096e-3	0.0262	(A) Asian
ACBD5	10p12.1	10.41	10.66	0.78	0.72	-0.25	3.097e-3	0.0262	(B) White
SIX1	14q23.1	2.80	3.56	2.28	2.29	-0.75	3.100e-3	0.0262	(B) White
C1QL2	2q14.2	0.17	0.33	0.40	0.60	-0.17	3.105e-3	0.0262	(B) White
RPP25	15q24.2	7.23	6.76	1.52	1.31	0.47	3.109e-3	0.0262	(A) Asian
NSUN5	7q11.23	9.72	9.52	0.51	0.66	0.19	3.109e-3	0.0262	(A) Asian
FAR1	11p15.3	6.80	7.17	1.10	1.14	-0.37	3.110e-3	0.0262	(B) White
KREMEN2	16p13.3	2.33	1.77	1.87	1.51	0.56	3.117e-3	0.0263	(A) Asian
TACC3	4p16.3	9.35	8.96	1.16	1.20	0.39	3.118e-3	0.0263	(A) Asian
IQGAP3	1q22	8.54	8.02	1.48	1.69	0.52	3.123e-3	0.0263	(A) Asian
TUBA4B	2q35	2.84	3.46	1.78	1.98	-0.62	3.124e-3	0.0263	(B) White
MTM1	Xq28	8.23	8.52	0.93	0.86	-0.29	3.124e-3	0.0263	(B) White
UXS1	2q12.2	9.81	9.61	0.58	0.59	0.19	3.125e-3	0.0263	(A) Asian
UPK1B	3q13.32	0.51	0.92	0.94	1.52	-0.41	3.129e-3	0.0263	(B) White
UTP14A	Xq26.1	8.90	8.72	0.56	0.53	0.18	3.132e-3	0.0263	(A) Asian
BRD7	16q12.1	9.60	9.79	0.68	0.42	-0.19	3.134e-3	0.0263	(B) White
KCNK5	6p21.2	7.06	7.73	2.17	1.89	-0.67	3.136e-3	0.0263	(B) White
NDUFAF3	3p21.31	10.73	10.53	0.59	0.60	0.20	3.137e-3	0.0263	(A) Asian
SPDL1	5q35.1	7.47	7.18	0.85	0.94	0.29	3.138e-3	0.0263	(A) Asian
LAYN	11q23.1	4.83	5.20	1.18	1.10	-0.37	3.146e-3	0.0264	(B) White
AP1M1	19p13.11	11.19	11.35	0.51	0.51	-0.17	3.148e-3	0.0264	(B) White
REEP4	8p21.3	8.57	8.31	0.87	0.71	0.26	3.148e-3	0.0264	(A) Asian
USP12	13q12.13	6.54	7.08	1.65	1.64	-0.54	3.152e-3	0.0264	(B) White
LNPK	2q31.1	8.69	8.94	0.68	0.83	-0.25	3.152e-3	0.0264	(B) White
CREB3L2	7q33	10.24	10.46	0.68	0.65	-0.22	3.153e-3	0.0264	(B) White
HNRNPAB	5q35.3	11.66	11.49	0.53	0.48	0.17	3.158e-3	0.0264	(A) Asian
PCDHA7	5q31.3	1.79	2.41	1.91	1.85	-0.62	3.159e-3	0.0264	(B) White
PPY2P	17q11.2	0.62	0.23	1.41	0.84	0.39	3.160e-3	0.0264	(A) Asian
AKIP1	11p15.4	8.73	8.57	0.52	0.46	0.16	3.162e-3	0.0264	(A) Asian
KIF15	3p21.31	5.92	5.30	1.82	1.93	0.62	3.169e-3	0.0265	(A) Asian
TAF11	6p21.31	9.55	9.39	0.48	0.49	0.16	3.169e-3	0.0265	(A) Asian
PDGFD	11q22.3	7.06	7.53	1.49	1.41	-0.48	3.174e-3	0.0265	(B) White
MYOG	1q32.1	0.18	0.06	0.45	0.26	0.12	3.177e-3	0.0265	(A) Asian
NDUFS6	5p15.33	11.30	11.03	0.83	0.81	0.27	3.180e-3	0.0265	(A) Asian
SRRM2	16p13.3	12.48	12.69	0.64	0.65	-0.21	3.180e-3	0.0265	(B) White
KIAA0319L	1p34.3	10.99	11.17	0.55	0.53	-0.18	3.180e-3	0.0265	(B) White
SH3BP5	3p25.1	8.74	9.09	1.06	1.01	-0.34	3.186e-3	0.0265	(B) White
DNAJC9	10q22.2	9.32	9.10	0.72	0.65	0.23	3.190e-3	0.0266	(A) Asian
RRN3	16p13.11	9.72	9.92	0.59	0.62	-0.20	3.196e-3	0.0266	(B) White
FIGNL2	12q13.13	6.58	5.98	1.65	2.00	0.60	3.201e-3	0.0266	(A) Asian
RUFY1	5q35.3	10.23	10.07	0.46	0.48	0.15	3.202e-3	0.0266	(A) Asian
PTTG3P	8q13.1	1.64	1.29	1.09	1.08	0.35	3.210e-3	0.0267	(A) Asian
MR1	1q25.3	7.03	7.37	1.06	0.99	-0.34	3.210e-3	0.0267	(B) White
ATP8B3	19p13.3	5.15	5.62	1.43	1.41	-0.47	3.211e-3	0.0267	(B) White
CYP17A1	10q24.32	6.59	7.81	3.75	3.67	-1.22	3.213e-3	0.0267	(B) White
PPM1G	2p23.3	11.43	11.28	0.48	0.44	0.15	3.217e-3	0.0267	(A) Asian
RAB11FIP1	8p11.23	9.85	9.45	1.33	1.14	0.41	3.218e-3	0.0267	(A) Asian
NBPF1	1p36.13	8.01	8.32	0.97	0.86	-0.30	3.222e-3	0.0267	(B) White
PEX6	6p21.1	10.34	10.61	0.88	0.80	-0.28	3.227e-3	0.0267	(B) White
UBAP2L	1q21.3	11.50	11.31	0.60	0.55	0.19	3.228e-3	0.0267	(A) Asian
SYS1-DBNDD2	20q13.12	2.87	3.49	2.05	1.68	-0.62	3.229e-3	0.0267	(B) White
TMEM199	17q11.2	9.23	9.08	0.45	0.48	0.15	3.234e-3	0.0268	(A) Asian
AMOT	Xq23	6.27	6.88	2.00	1.65	-0.61	3.240e-3	0.0268	(B) White
ZCCHC24	10q22.3	9.81	10.07	0.74	0.80	-0.25	3.241e-3	0.0268	(B) White
CNPY3	6p21.1	10.91	10.65	0.84	0.77	0.27	3.244e-3	0.0268	(A) Asian
C2CD6	2q33.1	1.11	1.49	1.12	1.24	-0.39	3.245e-3	0.0268	(B) White
PRRG1	Xp21.1	7.40	7.70	0.94	0.85	-0.29	3.252e-3	0.0269	(B) White
DNAJC25	9q31.3	8.72	9.00	0.82	0.85	-0.27	3.254e-3	0.0269	(B) White
RDX	11q22.3	10.73	10.99	0.80	0.79	-0.26	3.256e-3	0.0269	(B) White
DDX60	4q32.3	8.35	8.78	1.31	1.31	-0.43	3.256e-3	0.0269	(B) White
BLMH	17q11.2	9.16	8.69	1.54	1.29	0.47	3.260e-3	0.0269	(A) Asian
YY2	Xp22.12	3.22	3.69	1.51	1.35	-0.47	3.270e-3	0.0270	(B) White
ADM	11p15.4	8.26	8.64	1.11	1.21	-0.38	3.277e-3	0.0270	(B) White
AKIRIN2	6q15	9.88	9.67	0.61	0.69	0.21	3.280e-3	0.0270	(A) Asian
SALL1	16q12.1	9.67	10.10	1.47	1.10	-0.43	3.287e-3	0.0270	(B) White
MAPK8IP2	22q13.33	7.10	6.37	2.36	2.08	0.73	3.287e-3	0.0270	(A) Asian
FANCD2	3p25.3	7.36	6.93	1.27	1.35	0.43	3.289e-3	0.0271	(A) Asian
UBA52	19p13.11	13.57	13.33	0.68	0.76	0.23	3.291e-3	0.0271	(A) Asian
SNCA	4q22.1	2.47	3.01	1.71	1.57	-0.54	3.291e-3	0.0271	(B) White
WASHC2C	10q11.22	10.49	10.33	0.49	0.47	0.16	3.296e-3	0.0271	(A) Asian
KATNAL1	13q12.3	7.22	7.53	0.95	0.96	-0.31	3.296e-3	0.0271	(B) White
POLR2F	22q13.1	10.65	10.41	0.69	0.78	0.24	3.299e-3	0.0271	(A) Asian
TMBIM6	12q13.12	14.96	15.15	0.60	0.57	-0.19	3.299e-3	0.0271	(B) White
KCND2	7q31.31	1.65	2.22	1.65	1.84	-0.57	3.302e-3	0.0271	(B) White
AFG3L1P	16q24.3	7.10	7.31	0.65	0.62	-0.21	3.320e-3	0.0272	(B) White
CALY	10q26.3	1.44	0.87	2.00	1.42	0.57	3.324e-3	0.0272	(A) Asian
OGDH	7p13	11.59	11.80	0.62	0.70	-0.22	3.326e-3	0.0272	(B) White
GUCY2EP	11q13.5	1.33	0.88	1.48	1.30	0.46	3.327e-3	0.0272	(A) Asian
MITF	3p13	6.06	6.45	1.07	1.28	-0.38	3.329e-3	0.0272	(B) White
ZC3H6	2q14.1	7.10	7.35	0.76	0.74	-0.25	3.333e-3	0.0272	(B) White
NRIP1	21q11.2-q21.1	9.70	9.94	0.73	0.74	-0.24	3.333e-3	0.0272	(B) White
CLEC7A	12p13.2	5.24	5.72	1.52	1.42	-0.48	3.334e-3	0.0272	(B) White
SSPO	7q36.1	3.87	4.47	1.84	1.87	-0.61	3.334e-3	0.0272	(B) White
POP1	8q22.2	7.13	6.92	0.70	0.59	0.21	3.335e-3	0.0272	(A) Asian
TPTEP1	22q11.1	1.89	2.31	1.19	1.40	-0.42	3.352e-3	0.0274	(B) White
SLC44A3	1p21.3	8.50	7.90	1.76	1.92	0.60	3.364e-3	0.0275	(A) Asian
POLR2D	2q14.3	9.29	9.13	0.47	0.47	0.15	3.381e-3	0.0276	(A) Asian
BORA	13q21.33	6.43	6.15	0.84	0.89	0.28	3.383e-3	0.0276	(A) Asian
TSC22D1	13q14.11	11.34	11.66	0.96	1.02	-0.32	3.385e-3	0.0276	(B) White
RTL5	Xq13.1	6.07	6.58	1.50	1.61	-0.51	3.389e-3	0.0276	(B) White
NABP2	12q13.3	9.63	9.44	0.55	0.63	0.19	3.390e-3	0.0276	(A) Asian
ZRANB3	2q21.3	5.46	5.80	1.04	1.06	-0.34	3.395e-3	0.0276	(B) White
AIFM1	Xq26.1	11.43	11.66	0.76	0.66	-0.23	3.404e-3	0.0277	(B) White
LCOR	10q24.1	4.65	5.15	1.60	1.48	-0.50	3.414e-3	0.0278	(B) White
SOS1	2p22.1	9.62	9.80	0.49	0.63	-0.18	3.421e-3	0.0278	(B) White
CDK7	5q13.2	8.62	8.44	0.56	0.58	0.18	3.422e-3	0.0278	(A) Asian
LINC00928	15q26.1	0.00	0.05	0.03	0.19	-0.04	3.427e-3	0.0278	(B) White
MS4A10	11q12.2	0.55	1.09	1.32	2.01	-0.55	3.430e-3	0.0279	(B) White
ZNF75D	Xq26.3	7.77	8.00	0.71	0.69	-0.23	3.450e-3	0.0280	(B) White
GPR179	17q12	0.84	1.14	0.85	0.97	-0.30	3.456e-3	0.0280	(B) White
GBA3	4p15.2	7.30	8.25	3.04	2.79	-0.95	3.457e-3	0.0280	(B) White
MMUT	6p12.3	10.87	11.19	0.96	1.01	-0.32	3.460e-3	0.0281	(B) White
LOC644669	18p11.21	0.37	0.72	0.89	1.27	-0.35	3.461e-3	0.0281	(B) White
METTL21EP	13q33.1	0.93	1.19	0.81	0.77	-0.26	3.467e-3	0.0281	(B) White
DNAJC21	5p13.2	10.25	10.11	0.43	0.39	0.13	3.467e-3	0.0281	(A) Asian
MIPEP	13q12.12	7.91	8.14	0.76	0.69	-0.24	3.473e-3	0.0281	(B) White
CEP72	5p15.33	6.91	6.57	1.09	1.01	0.34	3.477e-3	0.0281	(A) Asian
LINC02203	15q11.2	0.06	0.26	0.32	0.84	-0.20	3.481e-3	0.0282	(B) White
RNF141	11p15.4|11p15	9.29	9.46	0.55	0.45	-0.16	3.484e-3	0.0282	(B) White
CYP2C18	10q23.33	9.58	10.36	2.67	2.05	-0.78	3.500e-3	0.0283	(B) White
LARP4	12q13.12	10.78	10.96	0.59	0.53	-0.18	3.506e-3	0.0283	(B) White
CD300E	17q25.1	0.44	0.69	0.69	0.85	-0.25	3.515e-3	0.0284	(B) White
CKS1B	1q21.3	10.01	9.74	0.78	0.87	0.27	3.523e-3	0.0284	(A) Asian
UFC1	1q23.3	11.41	11.22	0.58	0.60	0.19	3.526e-3	0.0285	(A) Asian
CACNG1	17q24.2	1.23	0.69	1.93	1.33	0.54	3.531e-3	0.0285	(A) Asian
MAP3K20	2q31.1	9.79	10.06	0.81	0.87	-0.27	3.531e-3	0.0285	(B) White
CYP2A6	19q13.2	10.35	11.79	4.58	4.26	-1.44	3.533e-3	0.0285	(B) White
DICER1	14q32.13	9.66	9.90	0.74	0.71	-0.24	3.539e-3	0.0285	(B) White
UOX	1p31.1	0.13	0.27	0.33	0.49	-0.13	3.540e-3	0.0285	(B) White
NPAS1	19q13.32	3.18	2.65	1.69	1.58	0.53	3.540e-3	0.0285	(A) Asian
INSR	19p13.2	11.75	11.98	0.69	0.69	-0.22	3.551e-3	0.0286	(B) White
B4GAT1	11q13.2	10.04	9.83	0.65	0.66	0.21	3.558e-3	0.0286	(A) Asian
SSR2	1q22	12.96	12.71	0.74	0.75	0.24	3.563e-3	0.0287	(A) Asian
CYP1B1-AS1	2p22.2	2.11	2.48	1.16	1.15	-0.38	3.569e-3	0.0287	(B) White
CCDC39	3q26.33	2.31	2.70	1.27	1.09	-0.38	3.572e-3	0.0287	(B) White
APEX1	14q11.2	11.62	11.48	0.43	0.47	0.15	3.573e-3	0.0287	(A) Asian
BOD1L1	4p15.33	8.80	9.09	0.94	0.82	-0.29	3.576e-3	0.0287	(B) White
LOC646471	1p36.11	5.35	5.82	1.54	1.37	-0.47	3.586e-3	0.0288	(B) White
BTD	3p25.1	10.18	10.48	0.95	0.89	-0.30	3.589e-3	0.0288	(B) White
EIF6	20q11.22	12.35	12.14	0.63	0.68	0.21	3.590e-3	0.0288	(A) Asian
CFLAR	2q33.1	9.57	9.73	0.51	0.49	-0.16	3.593e-3	0.0288	(B) White
TENM4	11q14.1	2.38	2.99	1.79	2.00	-0.61	3.595e-3	0.0288	(B) White
C14ORF93	14q11.2	7.82	7.65	0.53	0.53	0.17	3.599e-3	0.0288	(A) Asian
BFSP2	3q22.1	1.99	1.47	1.82	1.37	0.53	3.619e-3	0.0290	(A) Asian
ASCC2	22q12.2	11.05	10.90	0.46	0.44	0.15	3.626e-3	0.0290	(A) Asian
WDR59	16q23.1	9.95	10.14	0.61	0.58	-0.19	3.631e-3	0.0290	(B) White
EGFR	7p11.2	9.38	9.82	1.29	1.43	-0.44	3.647e-3	0.0292	(B) White
BBX	3q13.12	8.97	9.25	0.88	0.81	-0.27	3.650e-3	0.0292	(B) White
NUP85	17q25.1	9.75	9.58	0.52	0.55	0.17	3.652e-3	0.0292	(A) Asian
KLHL15	Xp22.11	8.00	8.25	0.76	0.83	-0.26	3.656e-3	0.0292	(B) White
MAST4	5q12.3	7.07	7.52	1.43	1.34	-0.45	3.660e-3	0.0292	(B) White
SMIM26	20p11.23	10.01	9.81	0.68	0.57	0.20	3.667e-3	0.0293	(A) Asian
RNASEL	1q25.3	6.61	7.01	1.34	1.13	-0.40	3.680e-3	0.0293	(B) White
CBLN4	20q13.2	2.32	3.14	2.40	2.70	-0.82	3.680e-3	0.0293	(B) White
MCF2L	13q34	7.99	8.32	1.08	0.95	-0.33	3.681e-3	0.0293	(B) White
LMLN	3q29	6.49	6.83	1.06	1.07	-0.34	3.686e-3	0.0294	(B) White
LEP	7q32.1	0.47	0.86	0.88	1.51	-0.39	3.690e-3	0.0294	(B) White
ACTL6A	3q26.33	9.34	9.12	0.72	0.64	0.22	3.702e-3	0.0295	(A) Asian
TRIM38	6p22.2	8.44	8.68	0.78	0.72	-0.24	3.704e-3	0.0295	(B) White
GPM6A	4q34.2	3.21	3.87	2.00	2.15	-0.67	3.713e-3	0.0295	(B) White
LRP2BP	4q35.1	4.15	4.46	1.02	0.86	-0.31	3.716e-3	0.0296	(B) White
SLC8A3	14q24.2	1.54	1.91	1.17	1.10	-0.37	3.719e-3	0.0296	(B) White
ELMOD2	4q31.1	7.40	7.59	0.55	0.58	-0.18	3.725e-3	0.0296	(B) White
